time,bitrate,latency,jitter,packet_loss,round
2021-04-01 16:23:30.250093,348.26666666666665,13.897593021392822,0,0,1
2021-04-01 16:23:39.397864,2786.133333333333,22.147930145263672,8.25033712387085,0,1
2021-04-01 16:23:39.399438,2786.133333333333,21.516502857208252,0.6314272880554199,0,1
2021-04-01 16:23:44.469724,2786.133333333333,26.185412883758545,4.668910026550293,0,1
2021-04-01 16:23:44.473230,2786.133333333333,25.100583791732788,1.0848290920257568,0,1
2021-04-01 16:23:54.173099,2786.133333333333,33.712125062942505,8.611541271209717,0,1
2021-04-01 16:23:54.175944,2786.133333333333,32.62663006782532,1.0854949951171875,0,1
2021-04-01 16:24:00.469995,2786.133333333333,37.83235692977905,5.205726861953735,0,1
2021-04-01 16:24:00.471682,2786.133333333333,36.74570918083191,1.0866477489471436,0,1
2021-04-01 16:24:09.515156,2089.6,44.70084810256958,7.955138921737671,0,1
2021-04-01 16:24:09.516858,2089.6,43.6142201423645,1.0866279602050781,0,1
2021-04-01 16:24:20.450645,2089.6,53.459672927856445,9.845452785491943,0,1
2021-04-01 16:24:20.451867,2089.6,52.37264704704285,1.0870258808135986,0,1
2021-04-01 16:24:30.888739,2089.6,61.72121500968933,9.348567962646484,0,1
2021-04-01 16:24:30.890548,2089.6,60.63458704948425,1.0866279602050781,0,1
2021-04-01 16:24:41.174771,2089.6,68.74224209785461,8.107655048370361,0,1
2021-04-01 16:24:41.178524,2089.6,66.56926012039185,2.1729819774627686,0,1
2021-04-01 16:24:52.003662,2089.6,75.21779322624207,8.64853310585022,0,1
2021-04-01 16:24:52.005293,2089.6,73.04264998435974,2.175143241882324,0,1
2021-04-01 16:24:57.890420,2089.6,76.75111103057861,3.708461046218872,0,1
2021-04-01 16:24:57.891980,2089.6,74.57600092887878,2.175110101699829,0,1
2021-04-01 16:25:25.340760,696.5333333333333,99.84811902046204,25.272118091583252,0,1
2021-04-01 16:25:25.346661,696.5333333333333,97.67734098434448,2.1707780361175537,0,1
2021-04-01 16:25:38.603151,348.26666666666665,108.75725507736206,11.079914093017578,0,1
2021-04-01 16:25:59.412944,0.0,,,1,1
2021-04-01 16:26:20.222737,0.0,,,2,1
2021-04-01 16:26:41.032529,0.0,,,3,1
2021-04-01 16:27:01.842322,0.0,,,4,1
2021-04-01 16:27:22.652115,0.0,,,5,1
2021-04-01 16:27:43.461907,0.0,,,6,1
2021-04-01 16:28:04.271700,0.0,,,7,1
2021-04-01 16:28:25.081493,0.0,,,8,1
2021-04-01 16:28:45.891285,0.0,,,9,1
2021-04-01 16:29:06.701078,0.0,,,10,1
2021-04-01 16:29:27.510871,0.0,,,11,1
2021-04-01 16:29:48.320663,0.0,,,12,1
2021-04-01 16:30:09.130456,0.0,,,13,1
2021-04-01 16:30:29.940249,0.0,,,14,1
2021-04-01 16:30:50.750042,0.0,,,15,1
2021-04-01 16:31:11.559834,0.0,,,16,1
2021-04-01 16:31:32.369627,0.0,,,17,1
2021-04-01 16:31:53.179420,0.0,,,18,1
2021-04-01 16:32:13.989213,0.0,,,19,1
2021-04-01 16:32:34.799005,0.0,,,20,1
2021-04-01 16:32:55.608798,0.0,,,21,1
2021-04-01 16:33:16.418591,0.0,,,22,1
2021-04-01 16:33:37.228383,0.0,,,23,1
2021-04-01 16:33:58.038176,0.0,,,24,1
2021-04-01 16:34:18.847969,0.0,,,25,1
2021-04-01 16:34:39.657761,0.0,,,26,1
2021-04-01 16:35:00.467554,0.0,,,27,1
2021-04-01 16:35:21.277347,0.0,,,28,1
2021-04-01 16:35:42.087139,0.0,,,29,1
2021-04-01 16:36:02.896932,0.0,,,30,1
2021-04-01 16:36:23.706725,348.26666666666665,23.278291940689087,85.47896313667297,0,1
2021-04-01 16:37:21.128338,348.26666666666665,20.699846982955933,2.5784449577331543,0,1
2021-04-01 16:37:38.587094,696.5333333333333,37.07013702392578,16.37029004096985,0,1
2021-04-01 16:37:57.131151,696.5333333333333,54.525866985321045,17.455729961395264,0,1
2021-04-01 16:38:17.108823,348.26666666666665,73.41520094871521,18.889333963394165,0,1
2021-04-01 16:38:34.927031,696.5333333333333,90.14511394500732,16.729912996292114,0,1
2021-04-01 16:38:57.786738,696.5333333333333,111.91644597053528,21.771332025527954,0,1
2021-04-01 16:39:19.217093,348.26666666666665,132.25860500335693,20.342159032821655,0,1
2021-04-01 16:39:43.151577,348.26666666666665,155.10462307929993,22.846018075942993,0,1
2021-04-01 16:40:14.108970,348.26666666666665,184.9736738204956,29.86905074119568,0,1
2021-04-01 16:40:32.827147,696.5333333333333,202.60364389419556,17.62997007369995,0,1
2021-04-01 16:40:52.627171,696.5333333333333,221.31529903411865,18.711655139923096,0,1
2021-04-01 16:41:13.330031,348.26666666666665,240.92974591255188,19.614446878433228,0,1
2021-04-01 16:41:34.393148,348.26666666666665,260.9046108722687,19.974864959716797,0,1
2021-04-01 16:42:05.347062,348.26666666666665,274.44510102272034,13.54049015045166,0,1
2021-04-01 16:42:49.088765,348.26666666666665,300.77344584465027,26.32834482192993,0,1
2021-04-01 16:43:16.989357,348.26666666666665,311.2608480453491,10.487402200698853,0,1
2021-04-01 16:43:46.326864,348.26666666666665,323.18490409851074,11.924056053161621,0,1
2021-04-01 16:44:01.360029,0.0,,,1,1
2021-04-01 16:44:16.393194,348.26666666666665,318.4245710372925,4.760333061218262,0,1
2021-04-01 16:44:39.703460,0.0,,,1,1
2021-04-01 16:45:03.013725,696.5333333333333,330.21842312812805,11.793852090835571,0,1
2021-04-01 16:45:16.780285,0.0,,,1,1
2021-04-01 16:45:30.546846,696.5333333333333,322.92489790916443,7.293525218963623,0,1
2021-04-01 16:45:54.666811,0.0,,,1,1
2021-04-01 16:46:18.786777,348.26666666666665,336.33822202682495,13.413324117660522,0,1
2021-04-01 16:46:42.908572,348.26666666666665,343.0466160774231,6.7083940505981445,0,1
2021-04-01 16:46:53.347979,0.0,,,1,1
2021-04-01 16:47:03.787385,0.0,,,2,1
2021-04-01 16:47:14.226792,348.26666666666665,322.1248400211334,20.921776056289673,0,1
2021-04-01 16:47:22.429048,0.0,,,1,1
2021-04-01 16:47:30.631305,0.0,,,2,1
2021-04-01 16:47:38.833561,0.0,,,3,1
2021-04-01 16:47:47.035817,0.0,,,4,1
2021-04-01 16:47:55.238073,0.0,,,5,1
2021-04-01 16:48:03.440330,0.0,,,6,1
2021-04-01 16:48:11.642586,0.0,,,7,1
2021-04-01 16:48:19.844842,0.0,,,8,1
2021-04-01 16:48:28.047098,0.0,,,9,1
2021-04-01 16:48:36.249354,0.0,,,10,1
2021-04-01 16:48:44.451611,0.0,,,11,1
2021-04-01 16:48:52.653867,0.0,,,12,1
2021-04-01 16:49:00.856123,0.0,,,13,1
2021-04-01 16:49:09.058379,0.0,,,14,1
2021-04-01 16:49:17.260636,0.0,,,15,1
2021-04-01 16:49:25.462892,0.0,,,16,1
