time,bitrate,latency,jitter,packet_loss,round
2021-04-08 18:01:52.435298,348.26666666666665,25.14804196357727,0,0,1
2021-04-08 18:02:06.835530,696.5333333333333,38.6742479801178,13.526206016540527,0,1
2021-04-08 18:02:18.892743,696.5333333333333,50.18135213851929,11.50710415840149,0,1
2021-04-08 18:02:27.894034,696.5333333333333,58.6750328540802,8.493680715560913,0,1
2021-04-08 18:02:45.173868,696.5333333333333,74.86646795272827,16.19143509864807,0,1
2021-04-08 18:02:59.610180,1044.8,88.21446490287781,13.347996950149536,0,1
2021-04-08 18:03:11.094323,1044.8,98.61024880409241,10.3957839012146,0,1
2021-04-08 18:03:20.093073,1044.8,106.52068185806274,7.910433053970337,0,1
2021-04-08 18:03:29.649966,696.5333333333333,114.98923897743225,8.468557119369507,0,1
2021-04-08 18:03:40.802654,696.5333333333333,125.05359697341919,10.064357995986938,0,1
2021-04-08 18:03:59.234630,696.5333333333333,142.39729619026184,17.34369921684265,0,1
2021-04-08 18:04:15.892858,696.5333333333333,150.34879803657532,7.951501846313477,0,1
2021-04-08 18:04:30.347012,696.5333333333333,163.71461296081543,13.365814924240112,0,1
2021-04-08 18:04:44.199660,696.5333333333333,168.86060404777527,5.145991086959839,0,1
2021-04-08 18:04:55.550928,696.5333333333333,171.5052671432495,2.644663095474243,0,1
2021-04-08 18:05:08.354621,696.5333333333333,175.60222601890564,4.096958875656128,0,1
2021-04-08 18:05:25.782919,696.5333333333333,184.32391786575317,8.721691846847534,0,1
2021-04-08 18:05:41.989018,696.5333333333333,191.823392868042,7.499475002288818,0,1
2021-04-08 18:05:55.494224,696.5333333333333,196.62182998657227,4.798437118530273,0,1
2021-04-08 18:06:11.313300,696.5333333333333,203.73429489135742,7.112464904785156,0,1
2021-04-08 18:06:24.124574,1044.8,207.83895587921143,4.104660987854004,0,1
2021-04-08 18:06:35.973868,1044.8,210.9814338684082,3.1424779891967773,0,1
2021-04-08 18:06:50.017075,1044.8,216.31800508499146,5.336571216583252,0,1
2021-04-08 18:07:01.723135,696.5333333333333,219.3174979686737,2.999492883682251,0,1
2021-04-08 18:07:14.740124,696.5333333333333,223.62773203849792,4.310234069824219,0,1
2021-04-08 18:07:29.818382,1044.8,229.99931406974792,6.37158203125,0,1
2021-04-08 18:07:40.412332,1044.8,231.88666605949402,1.8873519897460938,0,1
2021-04-08 18:07:51.216807,1044.8,233.98441290855408,2.0977468490600586,0,1
2021-04-08 18:08:07.232889,348.26666666666665,241.29382801055908,7.309415102005005,0,1
2021-04-08 18:08:24.519972,696.5333333333333,249.874361038208,8.580533027648926,0,1
2021-04-08 18:08:39.812366,696.5333333333333,256.45997309684753,6.585612058639526,0,1
2021-04-08 18:08:53.768137,696.5333333333333,261.70916390419006,5.249190807342529,0,1
2021-04-08 18:09:11.405718,696.5333333333333,242.03237318992615,19.676790714263916,0,1
2021-04-08 18:09:26.665477,696.5333333333333,248.58552408218384,6.55315089225769,0,1
2021-04-08 18:09:41.092161,696.5333333333333,254.3054850101471,5.719960927963257,0,1
2021-04-08 18:09:55.677872,696.5333333333333,231.57689094543457,22.728594064712524,0,1
2021-04-08 18:10:17.690990,696.5333333333333,244.88335585594177,13.306464910507202,0,1
2021-04-08 18:10:45.050670,348.26666666666665,263.5363669395447,18.653011083602905,0,1
2021-04-08 18:11:07.190556,348.26666666666665,276.96958899497986,13.43322205543518,0,1
2021-04-08 18:11:32.932327,348.26666666666665,294.00476002693176,17.035171031951904,0,1
2021-04-08 18:12:07.671425,348.26666666666665,291.42958521842957,2.5751748085021973,0,1
2021-04-08 18:12:37.371181,348.26666666666665,312.42267990112305,20.99309468269348,0,1
2021-04-08 18:12:49.521795,0.0,,,1,1
2021-04-08 18:13:01.672408,696.5333333333333,319.3106071949005,6.887927293777466,0,1
2021-04-08 18:13:20.580995,696.5333333333333,329.51240396499634,10.201796770095825,0,1
2021-04-08 18:13:40.377215,0.0,,,1,1
2021-04-08 18:14:00.173436,0.0,,,2,1
2021-04-08 18:14:19.969656,348.26666666666665,319.24772596359253,10.264678001403809,0,1
2021-04-08 18:14:29.691280,0.0,,,1,1
2021-04-08 18:14:39.412905,0.0,,,2,1
2021-04-08 18:14:49.134529,0.0,,,3,1
2021-04-08 18:14:58.856154,0.0,,,4,1
2021-04-08 18:15:08.577778,348.26666666666665,324.3225200176239,5.074794054031372,0,1
2021-04-08 18:15:38.005289,0.0,,,1,1
2021-04-08 18:16:07.432800,348.26666666666665,305.7640850543976,18.55843496322632,0,1
2021-04-08 18:17:08.460973,348.26666666666665,306.79212498664856,1.0280399322509766,0,1
2021-04-08 18:18:03.532845,348.26666666666665,301.86393904685974,4.928185939788818,0,1
2021-04-08 18:18:33.235738,348.26666666666665,314.1534249782562,12.289485931396484,0,1
2021-04-08 18:19:02.577582,348.26666666666665,326.0818738937378,11.928448915481567,0,1
2021-04-08 18:19:18.415315,0.0,,,1,1
2021-04-08 18:19:34.253047,0.0,,,2,1
2021-04-08 18:19:50.090780,348.26666666666665,321.35507798194885,4.72679591178894,0,1
2021-04-08 18:20:08.090654,0.0,,,1,1
2021-04-08 18:20:26.090528,348.26666666666665,322.5282781124115,1.1732001304626465,0,1
2021-04-08 18:20:44.630745,0.0,,,1,1
2021-04-08 18:21:03.170963,348.26666666666665,324.78189611434937,2.253618001937866,0,1
2021-04-08 18:21:19.791982,0.0,,,1,1
2021-04-08 18:21:36.413002,0.0,,,2,1
2021-04-08 18:21:53.034021,348.26666666666665,322.4049758911133,2.376920223236084,0,1
2021-04-08 18:22:24.805851,0.0,,,1,1
2021-04-08 18:22:56.577680,348.26666666666665,308.5352990627289,13.8696768283844,0,1
2021-04-08 18:23:20.912044,0.0,,,1,1
2021-04-08 18:23:45.246408,0.0,,,2,1
2021-04-08 18:24:09.580772,0.0,,,3,1
2021-04-08 18:24:33.915136,0.0,,,4,1
2021-04-08 18:24:58.249500,0.0,,,5,1
2021-04-08 18:25:22.583864,0.0,,,6,1
2021-04-08 18:25:46.918227,0.0,,,7,1
2021-04-08 18:26:11.252591,0.0,,,8,1
2021-04-08 18:26:35.586955,0.0,,,9,1
2021-04-08 18:26:59.921319,0.0,,,10,1
2021-04-08 18:27:24.255683,0.0,,,11,1
2021-04-08 18:27:48.590047,0.0,,,12,1
2021-04-08 18:28:12.924411,0.0,,,13,1
2021-04-08 18:28:37.258775,0.0,,,14,1
2021-04-08 18:29:01.593139,0.0,,,15,1
2021-04-08 18:29:25.927503,0.0,,,16,1
2021-04-08 18:29:50.261867,0.0,,,17,1
2021-04-08 18:30:14.596231,0.0,,,18,1
2021-04-08 18:30:38.930595,0.0,,,19,1
2021-04-08 18:31:03.264958,0.0,,,20,1
2021-04-08 18:31:27.599322,0.0,,,21,1
2021-04-08 18:31:51.933686,0.0,,,22,1
2021-04-08 18:32:16.268050,0.0,,,23,1
2021-04-08 18:32:40.602414,0.0,,,24,1
2021-04-08 18:33:04.936778,0.0,,,25,1
2021-04-08 18:33:29.271142,348.26666666666665,20.02726697921753,288.50803208351135,0,1
2021-04-08 18:34:33.171250,696.5333333333333,23.927248001098633,3.8999810218811035,0,1
2021-04-08 18:34:52.969787,696.5333333333333,42.63732576370239,18.71007776260376,0,1
2021-04-08 18:35:12.236060,348.26666666666665,60.815266847610474,18.17794108390808,0,1
