time,bitrate,latency,jitter,packet_loss,round
2021-04-08 13:47:12.441564,696.5333333333333,6.536279201507568,0,0,1
2021-04-08 13:47:12.444583,696.5333333333333,5.6653289794921875,0.8709502220153809,0,1
2021-04-08 13:47:16.716974,4179.2,9.387562990188599,3.722234010696411,0,1
2021-04-08 13:47:16.718863,4179.2,8.881827116012573,0.5057358741760254,0,1
2021-04-08 13:47:21.931832,4179.2,13.006431102752686,4.124603986740112,0,1
2021-04-08 13:47:21.933399,4179.2,11.919740915298462,1.0866901874542236,0,1
2021-04-08 13:47:25.528669,4179.2,14.42664623260498,2.5069053173065186,0,1
2021-04-08 13:47:25.530196,4179.2,13.339802980422974,1.0868432521820068,0,1
2021-04-08 13:47:29.124844,4179.2,15.846088171005249,2.5062851905822754,0,1
2021-04-08 13:47:29.127089,4179.2,14.760049104690552,1.0860390663146973,0,1
2021-04-08 13:47:33.129954,4179.2,17.674621105194092,2.91457200050354,0,1
2021-04-08 13:47:33.133084,4179.2,16.589322090148926,1.085299015045166,0,1
2021-04-08 13:47:40.828851,4179.2,23.196757078170776,6.607434988021851,0,1
2021-04-08 13:47:40.830458,4179.2,22.110029935836792,1.0867271423339844,0,1
2021-04-08 13:47:47.146605,2786.133333333333,27.33785104751587,5.227821111679077,0,1
2021-04-08 13:47:47.148171,2786.133333333333,26.25117301940918,1.0866780281066895,0,1
2021-04-08 13:47:52.718688,2786.133333333333,30.7332661151886,4.482093095779419,0,1
2021-04-08 13:47:52.720592,2786.133333333333,29.646942138671875,1.0863239765167236,0,1
2021-04-08 13:48:01.017194,2786.133333333333,36.855162143707275,7.2082200050354,0,1
2021-04-08 13:48:01.018974,2786.133333333333,35.76861214637756,1.086549997329712,0,1
2021-04-08 13:48:06.228202,2786.133333333333,39.889443159103394,4.12083101272583,0,1
2021-04-08 13:48:06.231265,2786.133333333333,38.80417203903198,1.0852711200714111,0,1
2021-04-08 13:48:14.305295,3482.6666666666665,45.78986191749573,6.985689878463745,0,1
2021-04-08 13:48:14.307096,3482.6666666666665,44.70333003997803,1.0865318775177002,0,1
2021-04-08 13:48:19.893853,3482.6666666666665,48.11343288421631,3.4101028442382812,0,1
2021-04-08 13:48:19.895632,3482.6666666666665,45.93854212760925,2.1748907566070557,0,1
2021-04-08 13:48:27.854368,3482.6666666666665,51.72060704231262,5.782064914703369,0,1
2021-04-08 13:48:27.857960,3482.6666666666665,49.54753088951111,2.1730761528015137,0,1
2021-04-08 13:48:33.442647,3482.6666666666665,52.95555901527405,3.4080281257629395,0,1
2021-04-08 13:48:33.447529,3482.6666666666665,50.78377318382263,2.171785831451416,0,1
2021-04-08 13:48:39.327187,3482.6666666666665,54.48676109313965,3.7029879093170166,0,1
2021-04-08 13:48:39.328768,3482.6666666666665,52.31167793273926,2.1750831604003906,0,1
