buffer_timestamp,data_throughput,pr4g_queue_occupancy,round
2021-01-22 05:18:15,4800,20,1
2021-01-22 05:15:16,4800,18,1
2021-01-22 05:15:17,4800,19,1
2021-01-22 05:15:19,4800,19,1
2021-01-22 05:15:20,4800,18,1
2021-01-22 05:15:22,4800,19,1
2021-01-22 05:15:24,4800,19,1
2021-01-22 05:15:26,4800,20,1
2021-01-22 05:15:27,4800,21,1
2021-01-22 05:15:29,4800,21,1
2021-01-22 05:15:31,4800,21,1
2021-01-22 05:15:32,4800,21,1
2021-01-22 05:15:34,4800,21,1
2021-01-22 05:15:36,4800,22,1
2021-01-22 05:15:37,4800,19,1
2021-01-22 05:15:39,4800,20,1
2021-01-22 05:15:40,4800,20,1
2021-01-22 05:15:42,4800,20,1
2021-01-22 05:15:43,4800,17,1
2021-01-22 05:15:45,4800,18,1
2021-01-22 05:15:46,4800,16,1
2021-01-22 05:15:48,4800,16,1
2021-01-22 05:15:50,4800,17,1
2021-01-22 05:15:52,4800,18,1
2021-01-22 05:15:53,4800,19,1
2021-01-22 05:15:54,4800,19,1
2021-01-22 05:15:56,4800,18,1
2021-01-22 05:15:57,4800,19,1
2021-01-22 05:15:58,4800,19,1
2021-01-22 05:15:59,4800,18,1
2021-01-22 05:16:01,4800,19,1
2021-01-22 05:16:02,4800,19,1
2021-01-22 05:16:04,4800,20,1
2021-01-22 05:16:06,4800,21,1
2021-01-22 05:16:07,4800,20,1
2021-01-22 05:16:09,4800,21,1
2021-01-22 05:16:11,4800,21,1
2021-01-22 05:16:13,4800,20,1
2021-01-22 05:16:15,4800,20,1
2021-01-22 05:16:16,4800,20,1
2021-01-22 05:16:18,4800,21,1
2021-01-22 05:16:20,4800,19,1
2021-01-22 05:16:21,4800,19,1
2021-01-22 05:16:22,4800,19,1
2021-01-22 05:16:23,4800,19,1
2021-01-22 05:16:25,4800,19,1
2021-01-22 05:16:26,4800,20,1
2021-01-22 05:16:28,4800,22,1
2021-01-22 05:16:29,4800,19,1
2021-01-22 05:16:31,4800,19,1
2021-01-22 05:16:34,4800,19,1
2021-01-22 05:16:36,4800,20,1
2021-01-22 05:16:37,4800,20,1
2021-01-22 05:16:38,4800,20,1
2021-01-22 05:16:40,4800,19,1
2021-01-22 05:16:41,4800,19,1
2021-01-22 05:16:43,4800,20,1
2021-01-22 05:16:45,4800,20,1
2021-01-22 05:16:47,4800,19,1
2021-01-22 05:16:50,4800,21,1
2021-01-22 05:16:52,4800,22,1
2021-01-22 05:16:53,4800,22,1
2021-01-22 05:16:56,4800,21,1
2021-01-22 05:16:57,4800,21,1
2021-01-22 05:16:59,4800,21,1
2021-01-22 05:17:00,4800,20,1
2021-01-22 05:17:01,4800,20,1
2021-01-22 05:17:03,4800,20,1
2021-01-22 05:17:07,4800,20,1
2021-01-22 05:17:08,4800,18,1
2021-01-22 05:17:09,4800,18,1
2021-01-22 05:17:12,4800,19,1
2021-01-22 05:17:13,4800,19,1
2021-01-22 05:17:14,4800,17,1
2021-01-22 05:17:16,4800,17,1
2021-01-22 05:17:17,4800,17,1
2021-01-22 05:17:19,4800,18,1
2021-01-22 05:17:21,4800,17,1
2021-01-22 05:17:22,4800,18,1
2021-01-22 05:17:23,4800,18,1
2021-01-22 05:17:25,4800,19,1
2021-01-22 05:17:27,4800,20,1
2021-01-22 05:17:28,4800,19,1
2021-01-22 05:17:30,4800,19,1
2021-01-22 05:17:32,4800,19,1
2021-01-22 05:17:34,4800,19,1
2021-01-22 05:17:36,4800,20,1
2021-01-22 05:17:38,4800,20,1
2021-01-22 05:17:40,4800,21,1
2021-01-22 05:17:42,4800,19,1
2021-01-22 05:17:43,4800,20,1
2021-01-22 05:17:45,4800,21,1
2021-01-22 05:17:47,4800,22,1
2021-01-22 05:17:49,4800,22,1
2021-01-22 05:17:50,4800,22,1
2021-01-22 05:17:52,4800,20,1
2021-01-22 05:17:54,4800,21,1
2021-01-22 05:17:55,4800,21,1
2021-01-22 05:17:58,4800,19,1
2021-01-22 05:18:00,4800,19,1
2021-01-22 05:18:02,4800,19,1
2021-01-22 05:18:04,4800,17,1
2021-01-22 05:18:06,4800,18,1
2021-01-22 05:18:07,4800,19,1
2021-01-22 05:18:08,4800,19,1
2021-01-22 05:18:10,4800,20,1
2021-01-22 05:18:11,4800,22,1
2021-01-22 05:18:14,4800,19,1
2021-01-22 05:24:16,4800,9,1
2021-01-22 05:24:17,4800,9,1
2021-01-22 05:24:20,4800,7,1
2021-01-22 05:24:22,4800,7,1
2021-01-22 05:24:24,4800,7,1
2021-01-22 05:24:25,4800,5,1
2021-01-22 05:24:27,4800,6,1
2021-01-22 05:24:28,4800,6,1
2021-01-22 05:24:29,4800,8,1
2021-01-22 05:24:32,4800,9,1
2021-01-22 05:24:33,4800,11,1
2021-01-22 05:24:34,4800,11,1
2021-01-22 05:24:36,4800,12,1
2021-01-22 05:24:37,4800,12,1
2021-01-22 05:24:40,4800,13,1
2021-01-22 05:24:41,4800,14,1
2021-01-22 05:24:43,4800,12,1
2021-01-22 05:24:45,4800,12,1
2021-01-22 05:24:47,4800,13,1
2021-01-22 05:24:48,4800,13,1
2021-01-22 05:24:50,4800,13,1
2021-01-22 05:24:51,4800,14,1
2021-01-22 05:24:52,4800,14,1
2021-01-22 05:24:55,4800,16,1
2021-01-22 05:24:57,4800,17,1
2021-01-22 05:24:59,4800,16,1
2021-01-22 05:25:01,4800,17,1
2021-01-22 05:25:03,4800,18,1
2021-01-22 05:25:05,4800,19,1
2021-01-22 05:25:07,4800,19,1
2021-01-22 05:25:09,4800,21,1
2021-01-22 05:25:10,4800,22,1
2021-01-22 05:25:12,4800,22,1
2021-01-22 05:25:15,4800,21,1
2021-01-22 05:25:17,4800,21,1
2021-01-22 05:25:18,4800,21,1
2021-01-22 05:25:20,4800,20,1
2021-01-22 05:25:21,4800,20,1
2021-01-22 05:25:23,4800,20,1
2021-01-22 05:25:24,4800,20,1
2021-01-22 05:25:26,4800,18,1
2021-01-22 05:25:27,4800,18,1
2021-01-22 05:25:28,4800,18,1
2021-01-22 05:25:29,4800,18,1
2021-01-22 05:25:30,4800,18,1
2021-01-22 05:25:31,4800,16,1
2021-01-22 05:25:33,4800,16,1
2021-01-22 05:25:34,4800,16,1
2021-01-22 05:25:35,4800,16,1
2021-01-22 05:25:36,4800,16,1
2021-01-22 05:25:37,4800,15,1
2021-01-22 05:25:38,4800,15,1
2021-01-22 05:25:40,4800,16,1
2021-01-22 05:25:41,4800,16,1
2021-01-22 05:25:42,4800,17,1
2021-01-22 05:25:43,4800,17,1
2021-01-22 05:25:44,4800,16,1
2021-01-22 05:25:45,4800,16,1
2021-01-22 05:25:46,4800,17,1
2021-01-22 05:25:48,4800,17,1
2021-01-22 05:25:49,4800,17,1
2021-01-22 05:25:51,4800,18,1
2021-01-22 05:25:53,4800,19,1
2021-01-22 05:25:55,4800,18,1
2021-01-22 05:25:57,4800,19,1
2021-01-22 05:25:58,4800,20,1
2021-01-22 05:25:59,4800,20,1
2021-01-22 05:26:01,4800,19,1
2021-01-22 05:26:02,4800,20,1
2021-01-22 05:26:04,4800,20,1
2021-01-22 05:26:05,4800,20,1
2021-01-22 05:26:06,4800,19,1
2021-01-22 05:26:07,4800,19,1
2021-01-22 05:26:08,4800,20,1
2021-01-22 05:26:09,4800,20,1
2021-01-22 05:26:10,4800,20,1
2021-01-22 05:26:12,4800,20,1
2021-01-22 05:26:13,4800,19,1
2021-01-22 05:26:14,4800,20,1
2021-01-22 05:26:15,4800,20,1
2021-01-22 05:26:16,4800,21,1
2021-01-22 05:26:17,4800,21,1
2021-01-22 05:26:19,4800,19,1
2021-01-22 05:26:20,4800,20,1
2021-01-22 05:26:21,4800,20,1
2021-01-22 05:26:23,4800,21,1
2021-01-22 05:26:25,4800,20,1
2021-01-22 05:26:26,4800,21,1
2021-01-22 05:26:29,4800,22,1
2021-01-22 05:26:30,4800,21,1
2021-01-22 05:26:31,4800,21,1
2021-01-22 05:26:34,4800,21,1
2021-01-22 05:26:36,4800,20,1
2021-01-22 05:26:39,4800,21,1
2021-01-22 05:26:40,4800,20,1
2021-01-22 05:26:42,4800,20,1
2021-01-22 05:26:43,4800,20,1
2021-01-22 05:26:45,4800,19,1
2021-01-22 05:26:46,4800,19,1
2021-01-22 05:26:48,4800,19,1
2021-01-22 05:26:49,4800,19,1
2021-01-22 05:26:50,4800,19,1
2021-01-22 05:26:51,4800,17,1
2021-01-22 05:26:53,4800,17,1
2021-01-22 05:26:54,4800,17,1
2021-01-22 05:26:55,4800,18,1
2021-01-22 05:26:56,4800,18,1
2021-01-22 05:29:38,4800,16,1
2021-01-22 05:29:40,4800,16,1
2021-01-22 05:29:41,4800,16,1
2021-01-22 05:29:43,4800,15,1
2021-01-22 05:29:45,4800,15,1
2021-01-22 05:29:46,4800,16,1
2021-01-22 05:29:48,4800,15,1
2021-01-22 05:29:50,4800,16,1
2021-01-22 05:29:52,4800,17,1
2021-01-22 05:29:55,4800,18,1
2021-01-22 05:29:56,4800,17,1
2021-01-22 05:29:58,4800,18,1
2021-01-22 05:30:00,4800,19,1
2021-01-22 05:30:01,4800,20,1
2021-01-22 05:30:03,4800,20,1
2021-01-22 05:30:04,4800,19,1
2021-01-22 05:30:06,4800,19,1
2021-01-22 05:30:07,4800,19,1
2021-01-22 05:30:08,4800,18,1
2021-01-22 05:30:09,4800,18,1
2021-01-22 05:30:10,4800,19,1
2021-01-22 05:30:12,4800,20,1
2021-01-22 05:30:13,4800,20,1
2021-01-22 05:30:15,4800,19,1
2021-01-22 05:30:16,4800,19,1
2021-01-22 05:30:17,4800,19,1
2021-01-22 05:30:21,4800,19,1
2021-01-22 05:30:22,4800,20,1
2021-01-22 05:30:23,4800,20,1
2021-01-22 05:30:24,4800,20,1
2021-01-22 05:30:25,4800,20,1
2021-01-22 05:30:28,4800,21,1
2021-01-22 05:30:30,4800,20,1
2021-01-22 05:30:32,4800,21,1
2021-01-22 05:30:33,4800,21,1
2021-01-22 05:30:36,4800,20,1
2021-01-22 05:30:37,4800,20,1
2021-01-22 05:30:39,4800,19,1
2021-01-22 05:30:40,4800,20,1
2021-01-22 05:30:43,4800,21,1
2021-01-22 05:30:44,4800,22,1
2021-01-22 05:30:45,4800,22,1
2021-01-22 05:30:47,4800,21,1
2021-01-22 05:30:49,4800,21,1
2021-01-22 05:30:50,4800,22,1
2021-01-22 05:30:53,4800,20,1
2021-01-22 05:30:56,4800,20,1
2021-01-22 05:30:57,4800,20,1
2021-01-22 05:30:58,4800,18,1
2021-01-22 05:30:59,4800,18,1
2021-01-22 05:31:02,4800,20,1
2021-01-22 05:31:03,4800,20,1
2021-01-22 05:31:06,4800,19,1
2021-01-22 05:31:07,4800,19,1
2021-01-22 05:31:08,4800,20,1
2021-01-22 05:31:10,4800,20,1
2021-01-22 05:31:11,4800,21,1
2021-01-22 05:31:12,4800,19,1
2021-01-22 05:31:15,4800,20,1
2021-01-22 05:31:16,4800,20,1
2021-01-22 05:31:19,4800,22,1
2021-01-22 05:31:20,4800,22,1
2021-01-22 05:31:21,4800,20,1
2021-01-22 05:31:22,4800,20,1
2021-01-22 05:31:23,4800,20,1
2021-01-22 05:31:25,4800,21,1
2021-01-22 05:31:27,4800,21,1
2021-01-22 05:31:28,4800,21,1
2021-01-22 05:31:30,4800,21,1
2021-01-22 05:31:31,4800,19,1
2021-01-22 05:31:34,4800,20,1
2021-01-22 05:31:35,4800,21,1
2021-01-22 05:31:36,4800,21,1
2021-01-22 05:31:38,4800,21,1
2021-01-22 05:31:39,4800,20,1
2021-01-22 05:31:41,4800,20,1
2021-01-22 05:31:43,4800,21,1
2021-01-22 05:31:44,4800,21,1
2021-01-22 05:31:45,4800,19,1
2021-01-22 05:31:47,4800,19,1
2021-01-22 05:31:48,4800,19,1
2021-01-22 05:31:49,4800,17,1
2021-01-22 05:31:51,4800,17,1
2021-01-22 05:31:52,4800,18,1
2021-01-22 05:31:54,4800,18,1
2021-01-22 05:31:55,4800,16,1
2021-01-22 05:31:56,4800,16,1
2021-01-22 05:31:58,4800,18,1
2021-01-22 05:32:02,4800,16,1
2021-01-22 05:32:04,4800,17,1
2021-01-22 05:32:06,4800,16,1
2021-01-22 05:32:08,4800,17,1
2021-01-22 05:32:10,4800,18,1
2021-01-22 05:32:11,4800,17,1
2021-01-22 05:32:13,4800,17,1
2021-01-22 05:32:14,4800,18,1
2021-01-22 05:32:16,4800,19,1
2021-01-22 05:32:18,4800,18,1
2021-01-22 05:32:19,4800,18,1
2021-01-22 05:32:20,4800,19,1
2021-01-22 05:32:22,4800,20,1
2021-01-22 05:32:23,4800,20,1
2021-01-22 05:32:24,4800,19,1
2021-01-22 05:32:26,4800,20,1
2021-01-22 05:32:29,4800,21,1
2021-01-22 05:32:31,4800,21,1
2021-01-22 05:32:32,4800,22,1
2021-01-22 05:35:29,4800,21,1
2021-01-22 05:35:30,4800,21,1
2021-01-22 05:35:32,4800,22,1
2021-01-22 05:35:34,4800,22,1
2021-01-22 05:35:35,4800,20,1
2021-01-22 05:35:36,4800,20,1
2021-01-22 05:35:37,4800,20,1
2021-01-22 05:35:38,4800,20,1
2021-01-22 05:35:40,4800,20,1
2021-01-22 05:35:41,4800,20,1
2021-01-22 05:35:42,4800,20,1
2021-01-22 05:35:44,4800,20,1
2021-01-22 05:35:45,4800,18,1
2021-01-22 05:35:47,4800,18,1
2021-01-22 05:35:48,4800,18,1
2021-01-22 05:35:50,4800,18,1
2021-01-22 05:35:51,4800,16,1
2021-01-22 05:35:52,4800,17,1
2021-01-22 05:35:55,4800,18,1
2021-01-22 05:35:57,4800,17,1
2021-01-22 05:35:58,4800,17,1
2021-01-22 05:36:00,4800,18,1
2021-01-22 05:36:01,4800,19,1
2021-01-22 05:36:02,4800,19,1
2021-01-22 05:36:03,4800,20,1
2021-01-22 05:36:05,4800,21,1
2021-01-22 05:36:06,4800,21,1
2021-01-22 05:36:07,4800,22,1
2021-01-22 05:36:09,4800,22,1
2021-01-22 05:36:11,4800,20,1
2021-01-22 05:36:13,4800,20,1
2021-01-22 05:36:14,4800,20,1
2021-01-22 05:36:15,4800,22,1
2021-01-22 05:36:17,4800,19,1
2021-01-22 05:36:19,4800,19,1
2021-01-22 05:36:21,4800,19,1
2021-01-22 05:36:23,4800,17,1
2021-01-22 05:36:24,4800,17,1
2021-01-22 05:36:26,4800,17,1
2021-01-22 05:36:29,4800,15,1
2021-01-22 05:36:30,4800,15,1
2021-01-22 05:36:31,4800,15,1
2021-01-22 05:36:32,4800,15,1
2021-01-22 05:36:35,4800,14,1
2021-01-22 05:36:36,4800,15,1
2021-01-22 05:36:37,4800,15,1
2021-01-22 05:36:38,4800,16,1
2021-01-22 05:36:39,4800,17,1
2021-01-22 05:36:42,4800,16,1
2021-01-22 05:36:43,4800,17,1
2021-01-22 05:36:44,4800,17,1
2021-01-22 05:36:46,4800,17,1
2021-01-22 05:36:47,4800,17,1
2021-01-22 05:36:48,4800,18,1
2021-01-22 05:36:50,4800,19,1
2021-01-22 05:36:51,4800,18,1
2021-01-22 05:36:53,4800,18,1
2021-01-22 05:36:54,4800,18,1
2021-01-22 05:36:56,4800,19,1
2021-01-22 05:36:57,4800,18,1
2021-01-22 05:36:59,4800,18,1
2021-01-22 05:37:00,4800,19,1
2021-01-22 05:37:02,4800,20,1
2021-01-22 05:37:03,4800,20,1
2021-01-22 05:37:05,4800,19,1
2021-01-22 05:37:06,4800,20,1
2021-01-22 05:37:09,4800,21,1
2021-01-22 05:37:10,4800,20,1
2021-01-22 05:37:12,4800,20,1
2021-01-22 05:37:13,4800,20,1
2021-01-22 05:37:15,4800,20,1
2021-01-22 05:37:17,4800,20,1
2021-01-22 05:37:19,4800,20,1
2021-01-22 05:37:20,4800,20,1
2021-01-22 05:37:21,4800,20,1
2021-01-22 05:37:23,4800,18,1
2021-01-22 05:37:25,4800,18,1
2021-01-22 05:37:27,4800,16,1
2021-01-22 05:37:28,4800,17,1
2021-01-22 05:37:31,4800,18,1
2021-01-22 05:37:32,4800,19,1
2021-01-22 05:37:33,4800,19,1
2021-01-22 05:37:35,4800,18,1
2021-01-22 05:37:36,4800,18,1
2021-01-22 05:37:37,4800,19,1
2021-01-22 05:37:39,4800,20,1
