packet_id,packet_timestamp,source_ip,destination_ip,protocol,packet_length,round
20017,2021-01-22 05:23:55.277522,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
19953,2021-01-22 05:23:49.650893,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
547,2021-01-22 05:28:50.477620,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
9129,2021-01-22 05:33:05.873453,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
19974,2021-01-22 05:23:49.652957,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
48252,2021-01-22 05:26:16.006798,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
9067,2021-01-22 05:33:05.872126,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
63751,2021-01-22 11:44:00.711773,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
16327,2021-01-22 09:39:59.325097,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
9210,2021-01-22 05:33:28.774163,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
16937,2021-01-22 05:39:20.115502,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
44660,2021-01-22 05:42:20.056387,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
45829,2021-01-22 05:45:19.008639,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
62732,2021-01-22 05:54:38.317008,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
8136,2021-01-22 05:16:32.962477,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
8142,2021-01-22 05:16:32.964074,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
49623,2021-01-22 06:21:34.490381,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
4710,2021-01-22 05:13:21.829139,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
4800,2021-01-22 05:13:26.864935,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
4809,2021-01-22 05:13:26.866671,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
4813,2021-01-22 05:13:32.434114,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
4833,2021-01-22 05:13:32.435705,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
4877,2021-01-22 05:13:37.871215,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7012,2021-01-22 05:15:25.693634,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7063,2021-01-22 05:15:25.695227,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7140,2021-01-22 05:15:34.465323,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7145,2021-01-22 05:15:34.466925,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7158,2021-01-22 05:15:41.506295,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7190,2021-01-22 05:15:41.507778,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7290,2021-01-22 05:15:46.162110,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7315,2021-01-22 05:15:46.163641,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7343,2021-01-22 05:15:51.804563,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7347,2021-01-22 05:15:51.807815,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7360,2021-01-22 05:15:58.252329,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7369,2021-01-22 05:15:58.253815,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7591,2021-01-22 05:16:03.662470,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7737,2021-01-22 05:16:03.665020,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7829,2021-01-22 05:16:10.694091,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7864,2021-01-22 05:16:10.697279,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7902,2021-01-22 05:16:16.028080,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
7906,2021-01-22 05:16:24.396430,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
8092,2021-01-22 05:16:24.398027,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
9294,2021-01-22 05:17:39.434104,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
9309,2021-01-22 05:17:44.987320,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
9474,2021-01-22 05:17:44.988900,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
9588,2021-01-22 05:17:54.143368,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
