node,time,x,y
0,0.0,6705.479841815617,20562.942259453805
0,390.3731068007037,11153.602919936275,22348.727304204513
0,839.3385944567781,11153.602919936275,22348.727304204513
0,1300.7976147480513,4609.350316223163,19441.415147793738
0,1469.6308177840983,4609.350316223163,19441.415147793738
0,1726.1223967906699,10227.374357544993,22226.811230628944
0,2123.1617531209413,10227.374357544993,22226.811230628944
0,2390.6777735555297,15109.758041074589,23935.7922030571
0,2873.563072996527,15109.758041074589,23935.7922030571
0,2894.7052225556545,15483.886077338137,24032.71712809785
0,3247.5153056603813,15483.886077338137,24032.71712809785
0,3294.6923038900277,14855.902141606874,23543.981127959727
0,3649.6625204345182,14855.902141606874,23543.981127959727
0,3659.0455761273843,15013.411592434266,23533.607717778996
0,3981.9483610725583,15013.411592434266,23533.607717778996
0,4797.943116448165,5629.605460203551,20621.265976251365
0,5292.878394316875,5629.605460203551,20621.265976251365
0,5579.945801452544,10187.775303975306,21703.680129057513
0,5631.6869501209585,10187.775303975306,21703.680129057513
0,6131.847718945806,4858.222005282522,20413.05264124842
0,6201.060809975737,4858.222005282522,20413.05264124842
0,6236.413028173949,5265.934306562901,19808.224635794322
0,6325.8567367629585,5265.934306562901,19808.224635794322
0,7453.546193826056,15806.628686644479,23825.307031145345
0,7756.461545488273,15806.628686644479,23825.307031145345
0,8122.053632736468,9689.422028491952,21453.96806400268
0,8630.370417775033,9689.422028491952,21453.96806400268
0,8919.339423922022,4937.558886209306,19877.96288365463
0,9254.35416210712,4937.558886209306,19877.96288365463
0,9602.590041382427,14355.58022261878,24086.087110990422
0,9867.89283879417,14355.58022261878,24086.087110990422
0,10200.0,10338.471768800917,22545.52425709492
