node,time,x,y
0,0.0,1810.264899260941,18000.0
0,50.0,2310.264899260941,18000.0
0,99.91256237471217,2810.264899260941,18000.0
0,148.71619564469742,3310.264899260941,18000.0
0,199.41380374263895,3810.264899260941,18000.0
0,207.78105578651275,3810.264899260941,18000.0
0,254.1749035726225,4310.264899260941,18000.0
0,302.1480504185692,4810.264899260941,18000.0
0,320.43478320777956,5000.0,18000.0
0,350.33821849495473,5000.0,17689.73510073906
0,403.6205336648939,5000.0,17189.73510073906
0,414.52628932857584,5000.0,17189.73510073906
0,433.84317770720554,5000.0,17000.0
0,465.4311780481282,5310.264899260941,17000.0
0,514.761754606652,5810.264899260941,17000.0
0,520.417167922745,5810.264899260941,17000.0
0,573.6087133018118,6310.264899260941,17000.0
0,574.5200962309858,6310.264899260941,17000.0
0,626.7313226415209,6810.264899260941,17000.0
0,628.314167212485,6810.264899260941,17000.0
0,681.2715076837239,7310.264899260941,17000.0
0,700.2216000340169,7500.0,17000.0
0,731.2097960565086,7500.0,16689.73510073906
0,749.2903204513965,7500.0,16689.73510073906
0,800.1537596418931,7500.0,16189.73510073906
0,817.3153810960231,7500.0,16000.0
0,845.3789746582022,7810.264899260941,16000.0
0,896.94940942975,8310.264899260941,16000.0
0,947.6422311123379,8810.264899260941,16000.0
0,954.1743707125105,8810.264899260941,16000.0
0,1002.6509265276607,9310.264899260941,16000.0
0,1013.3576242588757,9310.264899260941,16000.0
0,1060.7597328357774,9810.264899260941,16000.0
0,1112.0336551766213,10310.264899260941,16000.0
0,1159.3988292203082,10810.264899260941,16000.0
0,1178.0136261639593,10810.264899260941,16000.0
0,1232.0776946334724,11310.264899260941,16000.0
0,1280.2618429330962,11810.264899260941,16000.0
0,1291.9419131234306,11810.264899260941,16000.0
0,1342.2268985950327,12310.264899260941,16000.0
0,1361.3775107076826,12500.0,16000.0
0,1392.6936072800736,12500.0,15689.735100739059
0,1440.4687523647838,12500.0,15189.735100739059
0,1458.979891978536,12500.0,15000.0
0,1489.2502892065368,12189.735100739059,15000.0
0,1537.5600569013366,11689.735100739059,15000.0
0,1588.3925312228828,11189.735100739059,15000.0
0,1595.593601317695,11189.735100739059,15000.0
0,1650.8705279636654,10689.735100739059,15000.0
0,1697.5604371981608,10189.735100739059,15000.0
0,1717.2470980505043,10000.0,15000.0
0,1749.4397699511933,10000.0,15310.264899260941
0,1802.224208669274,10000.0,15810.264899260941
0,1822.1526270162867,10000.0,16000.0
0,1854.7406335937796,10310.264899260941,16000.0
0,1865.072546903343,10310.264899260941,16000.0
0,1915.4935859636137,10810.264899260941,16000.0
0,1964.9203374316787,11310.264899260941,16000.0
0,2014.2504500830669,11810.264899260941,16000.0
0,2025.2177482086342,11810.264899260941,16000.0
0,2073.96128172095,12310.264899260941,16000.0
0,2083.7450827617477,12310.264899260941,16000.0
0,2103.559440594604,12500.0,16000.0
0,2135.9609293701906,12500.0,15689.735100739059
0,2145.8315797083787,12500.0,15689.735100739059
0,2194.687318939011,12500.0,15189.735100739059
0,2208.8423057823356,12500.0,15189.735100739059
0,2226.8518870410985,12500.0,15000.0
0,2256.3021094470546,12189.735100739059,15000.0
0,2303.5232554706995,11689.735100739059,15000.0
0,2313.0495158348576,11689.735100739059,15000.0
0,2362.9270537814623,11189.735100739059,15000.0
0,2378.4688204634203,11189.735100739059,15000.0
0,2432.134992414697,10689.735100739059,15000.0
0,2484.481158465926,10189.735100739059,15000.0
0,2503.2858893240923,10000.0,15000.0
0,2534.036382525465,10000.0,15310.264899260941
0,2581.3907607786387,10000.0,15810.264899260941
0,2597.3109876043764,10000.0,15810.264899260941
0,2615.416833262553,10000.0,16000.0
0,2645.0244723197784,10310.264899260941,16000.0
0,2692.655948618569,10810.264899260941,16000.0
0,2741.120883223423,11310.264899260941,16000.0
0,2749.3029621403803,11310.264899260941,16000.0
