node,time,x,y
0,0.0,1502.8891172448343,2454.6925071388073
0,10.0,1408.690846971873,2488.2586489722403
0,20.0,1308.9600654839094,2480.9257625146397
0,30.0,1217.1261724567153,2488.5402070115383
0,40.0,1129.9128068644764,2490.9141879747904
0,50.0,1037.9924590239984,2478.5480527222207
0,60.0,952.6562676506276,2447.296991481111
0,70.0,865.5105709401905,2425.3421364691194
0,80.0,785.0916529190008,2398.6807751340975
0,90.0,714.4759177859312,2348.682539574061
0,100.0,693.8231120548522,2265.6455569515133
0,110.0,643.0549580242257,2197.628027107042
0,120.0,627.049884839851,2120.0781603055816
0,130.0,617.2162691857358,2044.3156511863938
0,140.0,619.5491755132713,1965.500262205102
0,150.0,619.6198391785264,1884.7322602854824
0,160.0,605.6159642920586,1807.4776537347745
0,170.0,589.0537424724231,1736.4285923026468
0,180.0,578.814384381908,1664.7366859402662
0,190.0,555.0354774343944,1593.7275052949835
0,200.0,517.0241801803666,1522.6660746535235
0,210.0,489.02673127685114,1442.429833461345
0,220.0,441.96009355283996,1375.595547545517
0,230.0,372.1282979158553,1350.2738810820151
0,240.0,341.1003307639564,1286.2763758230753
0,250.0,309.8060639997691,1214.8702031895396
0,260.0,358.79156642835727,1147.319653607652
0,270.0,423.05654266675697,1099.2724570584041
0,280.0,486.78203040693063,1045.6344949598013
0,290.0,575.0907354303691,1062.8289696566112
0,300.0,642.7671473605932,1011.8359469863885
0,310.0,696.5569977220603,944.8808364837033
0,320.0,769.1980467313501,904.8902939612536
0,330.0,832.406093815452,851.7088052814424
0,340.0,912.3349407902939,826.9778210655427
0,350.0,999.3246880293796,805.6736891599799
0,360.0,1075.0183576406343,758.0978803868355
0,370.0,1143.1117077069289,693.6753508287044
0,380.0,1184.6554453076174,612.5809257249392
0,390.0,1204.443450981421,521.2505404509202
0,400.0,1234.1666154664342,436.3860585021707
0,410.0,1248.49201814018,347.81612819312124
0,420.0,1290.7037502725343,266.02303463400585
0,430.0,1345.1931760877978,198.4398697274808
0,440.0,1394.2267689986481,132.49634998365684
0,450.0,1483.0125403938093,110.25231332729808
0,460.0,1537.6566804165323,30.129602622306436
0,470.0,1554.4013284324772,123.95866718747824
0,480.0,1595.6897378753943,205.09516298062135
0,490.0,1640.2210251153392,269.6203973296708
0,500.0,1711.852233970783,303.00593473154254
0,510.0,1787.4886415105718,329.78926209510433
0,520.0,1861.5536587007082,340.4565954389466
0,530.0,1936.2657376449163,326.3363599111276
0,540.0,2013.369848394023,331.11367521561914
0,550.0,2091.8161797241105,353.0639776713068
0,560.0,2169.38416749452,355.6350426653629
0,570.0,2242.6269427925845,363.9198205211933
0,580.0,2303.65415082018,412.59579585299537
0,590.0,2344.4839166407646,469.9540903108239
0,600.0,2384.7554299355274,526.2074498248041
0,610.0,2391.1387715123224,594.3609983583591
0,620.0,2387.891828565662,661.0099709080484
0,630.0,2367.3027147421203,721.137647998629
0,640.0,2384.1066214089687,782.9578447491095
0,650.0,2364.774535463384,850.1905459619896
0,660.0,2313.104500348593,894.5591339033463
0,670.0,2242.7646903340524,920.8419868153076
0,680.0,2160.350790427785,930.6303986317613
0,690.0,2077.2707156476404,914.5887211049966
0,700.0,2006.7093293585035,869.5873123717346
0,710.0,1948.7890476536156,817.0308754420084
0,720.0,1878.9407803777026,780.2250684117458
0,730.0,1818.3438842154467,716.4013647593073
0,740.0,1769.2681991332324,648.8054119861027
0,750.0,1761.9754989969267,564.4057964701238
0,760.0,1790.2650464566118,475.88414751257005
0,770.0,1764.174034178393,379.9432072733623
0,780.0,1681.9383967291155,323.04593200194876
0,790.0,1637.210969395813,233.60624705089282
0,800.0,1561.1062333915295,168.73661503622586
0,810.0,1470.8409363544904,125.69969889653139
0,820.0,1377.211053755322,107.62899113747557
0,830.0,1283.7142192398312,118.63292803899259
0,840.0,1193.3208221108716,113.9468576949424
0,850.0,1119.0629747694395,177.8463677274683
0,860.0,1049.018612144102,236.51223571748875
0,870.0,987.6295115512372,301.7534085611776
0,880.0,982.822717882699,393.2010936059785
0,890.0,916.0617580141728,457.25697658896564
0,900.0,832.8636254769116,508.701659246107
0,910.0,772.5006915787607,577.3539207255058
0,920.0,688.1266848699227,601.9415557474967
0,930.0,614.7635762536316,646.510045997749
0,940.0,563.1105451091679,691.189477501728
0,950.0,505.07368065400016,709.4197177058421
0,960.0,448.56158160157406,751.002819344825
0,970.0,393.1212007979523,795.8611682482142
0,980.0,334.7947884441025,847.7239978632879
0,990.0,295.24911907620003,920.5874023153206
0,1000.0,269.7857782647864,1002.576870619253
0,1010.0,268.40504535061206,1094.1043950779888
0,1020.0,280.9198410632702,1193.318204037581
0,1030.0,315.5840505752007,1287.117951259591
0,1040.0,370.7538004359234,1369.2902301494646
0,1050.0,435.82850953057465,1440.9964682671282
0,1060.0,521.2521430755806,1468.0486087420866
0,1070.0,604.671410769122,1488.0415727106913
0,1080.0,687.7552601994719,1520.6116637790208
